order_id,order_date,shift,zone,order_priority,items_count,picker_experience,distance_travelled,congestion_level,equipment_available,picking_time,packing_time,total_time,target_time,delayed,order_month,order_quarter,order_day_of_week,is_weekend,time_ratio,time_over_target,workload_index,is_experienced,is_high_congestion,equipment_penalty,pick_time_per_item
ORD-00014,2024-01-02 10:04:37.975595,Evening,B,High,50,3,118.1,Low,True,41.29,25.98,67.27,38,1,1,1,1,0,1.7703,29.27,59.05,0,0,0,0.826
ORD-00015,2024-01-02 12:41:54.742948,Night,C,High,24,10,128.3,Low,True,11.25,14.44,25.69,38,1,1,1,1,0,0.6761,-12.31,30.79,1,0,0,0.469
ORD-00016,2024-01-02 15:19:11.510302,Evening,B,High,39,7,187.0,Medium,True,39.44,25.34,64.78,38,1,1,1,1,0,1.7047,26.78,72.93,1,0,0,1.011
ORD-00017,2024-01-02 17:56:28.277655,Morning,E,Low,36,3,177.9,Medium,True,30.67,17.09,47.76,55,0,1,1,1,0,0.8684,-7.24,64.04,0,0,0,0.852
ORD-00018,2024-01-02 20:33:45.045009,Evening,C,High,44,1,133.0,High,True,53.03,20.73,73.76,38,1,1,1,1,0,1.9411,35.76,58.52,0,1,0,1.205
ORD-00019,2024-01-02 23:11:01.812362,Night,E,Medium,24,8,173.7,High,True,23.45,17.3,40.75,45,1,1,1,1,0,0.9056,-4.25,41.69,1,1,0,0.977
ORD-00020,2024-01-03 01:48:18.579715,Night,B,High,21,4,163.2,Low,True,26.52,14.33,40.85,38,1,1,1,2,0,1.075,2.85,34.27,0,0,0,1.263
ORD-00021,2024-01-03 04:25:35.347069,Morning,A,High,14,4,148.7,Low,True,15.61,11.17,26.78,38,0,1,1,2,0,0.7047,-11.22,20.82,0,0,0,1.115
ORD-00022,2024-01-03 07:02:52.114422,Morning,D,Low,30,6,195.9,High,False,25.99,23.16,49.15,55,0,1,1,2,0,0.8936,-5.85,58.77,0,1,1,0.866
ORD-00023,2024-01-03 09:40:08.881776,Evening,D,Medium,31,3,123.5,Low,True,20.93,16.85,37.78,45,0,1,1,2,0,0.8396,-7.22,38.29,0,0,0,0.675
ORD-00024,2024-01-03 12:17:25.649129,Morning,A,Urgent,23,8,152.1,Medium,True,11.78,14.23,26.01,28,1,1,1,2,0,0.9289,-1.99,34.98,1,0,0,0.512
ORD-00025,2024-01-03 14:54:42.416483,Night,C,Medium,16,4,108.0,Medium,True,14.18,12.3,26.48,45,0,1,1,2,0,0.5884,-18.52,17.28,0,0,0,0.886
ORD-00026,2024-01-03 17:31:59.183836,Evening,C,High,23,8,109.9,Medium,True,14.68,10.43,25.11,38,0,1,1,2,0,0.6608,-12.89,25.28,1,0,0,0.638
ORD-00027,2024-01-03 20:09:15.951190,Evening,A,Urgent,26,6,95.6,Low,True,15.48,17.0,32.48,28,1,1,1,2,0,1.16,4.48,24.86,0,0,0,0.595
ORD-00028,2024-01-03 22:46:32.718543,Morning,C,Medium,7,2,110.6,Low,True,11.62,8.57,20.19,45,0,1,1,2,0,0.4487,-24.81,7.74,0,0,0,1.66
ORD-00029,2024-01-04 01:23:49.485897,Evening,A,Medium,34,7,153.3,Low,True,22.67,19.78,42.45,45,0,1,1,3,0,0.9433,-2.55,52.12,1,0,0,0.667
ORD-00030,2024-01-04 04:01:06.253250,Night,A,Medium,43,1,137.9,Low,False,31.61,31.21,62.82,45,1,1,1,3,0,1.396,17.82,59.3,0,0,1,0.735
ORD-00031,2024-01-04 06:38:23.020604,Evening,E,High,17,8,139.2,Low,True,14.4,10.3,24.7,38,0,1,1,3,0,0.65,-13.3,23.66,1,0,0,0.847
ORD-00032,2024-01-04 09:15:39.787957,Morning,C,Medium,20,4,138.0,Medium,True,20.18,11.84,32.02,45,1,1,1,3,0,0.7116,-12.98,27.6,0,0,0,1.009
ORD-00033,2024-01-04 11:52:56.555311,Morning,D,Medium,5,7,220.9,Low,True,5.63,10.41,16.04,45,1,1,1,3,0,0.3564,-28.96,11.04,1,0,0,1.126
ORD-00034,2024-01-04 14:30:13.322664,Night,D,Medium,30,3,104.5,Low,True,19.24,21.25,40.49,45,1,1,1,3,0,0.8998,-4.51,31.35,0,0,0,0.641
ORD-00035,2024-01-04 17:07:30.090018,Night,E,Urgent,22,5,100.2,Low,False,15.87,17.41,33.28,28,1,1,1,3,0,1.1886,5.28,22.04,0,0,1,0.721
ORD-00036,2024-01-04 19:44:46.857371,Morning,B,Urgent,43,4,116.2,High,True,49.47,21.97,71.44,28,1,1,1,3,0,2.5514,43.44,49.97,0,1,0,1.15
ORD-00037,2024-01-04 22:22:03.624724,Evening,B,High,46,3,147.1,Low,True,39.34,24.96,64.3,38,1,1,1,3,0,1.6921,26.3,67.67,0,0,0,0.855
ORD-00038,2024-01-05 00:59:20.392078,Morning,B,Urgent,39,4,170.6,Low,False,33.24,30.63,63.87,28,1,1,1,4,0,2.2811,35.87,66.53,0,0,1,0.852
ORD-00039,2024-01-05 03:36:37.159431,Evening,C,High,11,1,174.7,Medium,True,17.64,8.44,26.08,38,0,1,1,4,0,0.6863,-11.92,19.22,0,0,0,1.604
ORD-00040,2024-01-05 06:13:53.926785,Morning,C,Urgent,10,4,187.8,Low,True,11.3,8.99,20.29,28,0,1,1,4,0,0.7246,-7.71,18.78,0,0,0,1.13
ORD-00041,2024-01-05 08:51:10.694138,Night,D,Low,25,2,145.7,Low,True,23.07,16.75,39.82,55,0,1,1,4,0,0.724,-15.18,36.42,0,0,0,0.923
ORD-00042,2024-01-05 11:28:27.461492,Night,B,Medium,31,6,134.1,Low,False,18.54,23.89,42.43,45,0,1,1,4,0,0.9429,-2.57,41.57,0,0,1,0.598
ORD-00043,2024-01-05 14:05:44.228845,Morning,A,Urgent,2,1,215.3,High,True,17.63,10.61,28.24,28,1,1,1,4,0,1.0086,0.24,4.31,0,1,0,8.815
ORD-00044,2024-01-05 16:43:00.996199,Evening,E,Medium,25,1,38.6,Medium,True,23.3,15.06,38.36,45,0,1,1,4,0,0.8524,-6.64,9.65,0,0,0,0.932
ORD-00045,2024-01-05 19:20:17.763552,Morning,D,Medium,5,5,152.5,Medium,True,6.86,4.61,11.47,45,0,1,1,4,0,0.2549,-33.53,7.62,0,0,0,1.372
ORD-00046,2024-01-05 21:57:34.530906,Morning,B,High,14,3,167.2,High,True,28.58,10.94,39.52,38,1,1,1,4,0,1.04,1.52,23.41,0,1,0,2.041
ORD-00047,2024-01-06 00:34:51.298259,Morning,D,High,18,9,224.9,Medium,True,12.87,12.57,25.44,38,0,1,1,5,1,0.6695,-12.56,40.48,1,0,0,0.715
ORD-00048,2024-01-06 03:12:08.065613,Morning,C,Medium,3,3,83.6,Low,False,5.39,4.34,9.73,45,0,1,1,5,1,0.2162,-35.27,2.51,0,0,1,1.797
ORD-00049,2024-01-06 05:49:24.832966,Night,D,Medium,14,4,133.2,Medium,True,15.73,14.16,29.89,45,0,1,1,5,1,0.6642,-15.11,18.65,0,0,0,1.124
ORD-00050,2024-01-06 08:26:41.600320,Morning,B,Medium,32,3,95.7,Medium,False,35.4,20.35,55.75,45,1,1,1,5,1,1.2389,10.75,30.62,0,0,1,1.106
ORD-00051,2024-01-06 11:03:58.367673,Night,C,Low,50,9,78.1,Low,True,18.28,26.66,44.94,55,0,1,1,5,1,0.8171,-10.06,39.05,1,0,0,0.366
ORD-00052,2024-01-06 13:41:15.135027,Morning,A,Medium,39,8,141.8,Medium,True,18.23,20.26,38.49,45,1,1,1,5,1,0.8553,-6.51,55.3,1,0,0,0.467
ORD-00053,2024-01-06 16:18:31.902380,Evening,A,Medium,16,2,183.3,Low,True,18.14,7.24,25.38,45,0,1,1,5,1,0.564,-19.62,29.33,0,0,0,1.134
ORD-00054,2024-01-06 18:55:48.669733,Evening,D,High,48,3,198.2,Low,True,31.05,26.68,57.73,38,1,1,1,5,1,1.5192,19.73,95.14,0,0,0,0.647
ORD-00055,2024-01-06 21:33:05.437087,Night,B,Medium,23,2,128.7,Low,True,24.48,13.79,38.27,45,0,1,1,5,1,0.8504,-6.73,29.6,0,0,0,1.064
ORD-00056,2024-01-07 00:10:22.204440,Morning,A,Medium,18,2,176.7,Low,True,19.1,16.33,35.43,45,0,1,1,6,1,0.7873,-9.57,31.81,0,0,0,1.061
ORD-00057,2024-01-07 02:47:38.971794,Morning,A,High,43,3,142.1,High,True,41.32,25.21,66.53,38,1,1,1,6,1,1.7508,28.53,61.1,0,1,0,0.961
ORD-00058,2024-01-07 05:24:55.739147,Evening,B,Low,20,9,172.3,Medium,False,19.01,18.0,37.01,55,1,1,1,6,1,0.6729,-17.99,34.46,1,0,1,0.951
ORD-00059,2024-01-07 08:02:12.506501,Evening,D,Medium,37,5,196.2,Low,True,29.93,16.66,46.59,45,0,1,1,6,1,1.0353,1.59,72.59,0,0,0,0.809
ORD-00060,2024-01-07 10:39:29.273854,Evening,B,Medium,9,4,142.2,Medium,True,18.32,6.91,25.23,45,0,1,1,6,1,0.5607,-19.77,12.8,0,0,0,2.036
ORD-00061,2024-01-07 13:16:46.041208,Morning,D,High,17,2,193.1,Medium,True,24.38,15.23,39.61,38,1,1,1,6,1,1.0424,1.61,32.83,0,0,0,1.434
ORD-00062,2024-01-07 15:54:02.808561,Morning,E,Low,50,2,101.5,Low,True,37.72,25.39,63.11,55,1,1,1,6,1,1.1475,8.11,50.75,0,0,0,0.754
ORD-00063,2024-01-07 18:31:19.575915,Night,B,Medium,13,6,176.3,Medium,True,19.31,10.04,29.35,45,0,1,1,6,1,0.6522,-15.65,22.92,0,0,0,1.485
ORD-00064,2024-01-07 21:08:36.343268,Evening,D,Medium,43,8,191.3,Medium,True,25.54,20.72,46.26,45,0,1,1,6,1,1.028,1.26,82.26,1,0,0,0.594
ORD-00065,2024-01-07 23:45:53.110622,Evening,A,High,24,6,187.2,Low,True,18.35,17.85,36.2,38,0,1,1,6,1,0.9526,-1.8,44.93,0,0,0,0.765
ORD-00066,2024-01-08 02:23:09.877975,Morning,B,High,48,7,102.6,Medium,True,38.19,23.43,61.62,38,1,1,1,0,0,1.6216,23.62,49.25,1,0,0,0.796
ORD-00067,2024-01-08 05:00:26.645329,Morning,A,Urgent,21,3,141.8,Medium,True,20.8,11.31,32.11,28,1,1,1,0,0,1.1468,4.11,29.78,0,0,0,0.99
ORD-00068,2024-01-08 07:37:43.412682,Night,A,High,25,10,162.1,High,True,13.48,20.0,33.48,38,1,1,1,0,0,0.8811,-4.52,40.52,1,1,0,0.539
ORD-00069,2024-01-08 10:15:00.180036,Evening,A,Medium,20,9,167.7,High,False,12.75,17.25,30.0,45,0,1,1,0,0,0.6667,-15.0,33.54,1,1,1,0.638
ORD-00070,2024-01-08 12:52:16.947389,Morning,A,Medium,11,9,154.6,High,True,12.7,11.84,24.54,45,0,1,1,0,0,0.5453,-20.46,17.01,1,1,0,1.155
ORD-00071,2024-01-08 15:29:33.714742,Night,D,Low,43,7,207.2,Low,True,20.09,20.26,40.35,55,0,1,1,0,0,0.7336,-14.65,89.1,1,0,0,0.467
ORD-00072,2024-01-08 18:06:50.482096,Evening,C,Medium,29,7,98.2,High,True,24.36,13.66,38.02,45,1,1,1,0,0,0.8449,-6.98,28.48,1,1,0,0.84
ORD-00073,2024-01-08 20:44:07.249449,Morning,E,Low,26,1,140.4,Medium,True,32.71,14.09,46.8,55,0,1,1,0,0,0.8509,-8.2,36.5,0,0,0,1.258
ORD-00074,2024-01-08 23:21:24.016803,Morning,C,Medium,19,2,82.5,Low,True,14.84,12.11,26.95,45,0,1,1,0,0,0.5989,-18.05,15.68,0,0,0,0.781
ORD-00075,2024-01-09 01:58:40.784156,Evening,C,High,39,2,174.8,High,True,49.24,23.83,73.07,38,1,1,1,1,0,1.9229,35.07,68.17,0,1,0,1.263
ORD-00076,2024-01-09 04:35:57.551510,Morning,A,High,18,5,172.2,High,True,22.54,14.74,37.28,38,1,1,1,1,0,0.9811,-0.72,31.0,0,1,0,1.252
ORD-00077,2024-01-09 07:13:14.318863,Evening,C,Medium,12,6,283.9,Medium,True,19.21,10.24,29.45,45,0,1,1,1,0,0.6544,-15.55,34.07,0,0,0,1.601
ORD-00078,2024-01-09 09:50:31.086217,Evening,B,Medium,5,2,191.1,Low,True,16.19,7.93,24.12,45,0,1,1,1,0,0.536,-20.88,9.56,0,0,0,3.238
ORD-00079,2024-01-09 12:27:47.853570,Morning,E,Medium,44,8,163.3,Low,True,21.16,21.53,42.69,45,0,1,1,1,0,0.9487,-2.31,71.85,1,0,0,0.481
ORD-00080,2024-01-09 15:05:04.620924,Night,E,Medium,4,6,160.2,High,True,9.6,5.22,14.82,45,0,1,1,1,0,0.3293,-30.18,6.41,0,1,0,2.4
ORD-00081,2024-01-09 17:42:21.388277,Morning,A,Medium,43,6,137.3,High,True,30.1,19.74,49.84,45,1,1,1,1,0,1.1076,4.84,59.04,0,1,0,0.7
ORD-00082,2024-01-09 20:19:38.155631,Evening,C,Medium,19,10,155.2,Low,True,8.23,10.64,18.87,45,0,1,1,1,0,0.4193,-26.13,29.49,1,0,0,0.433
ORD-00083,2024-01-09 22:56:54.922984,Evening,C,Medium,1,6,161.0,Low,True,11.91,6.99,18.9,45,0,1,1,1,0,0.42,-26.1,1.61,0,0,0,11.91
ORD-00084,2024-01-10 01:34:11.690338,Evening,C,Urgent,47,1,71.4,Medium,True,35.63,20.33,55.96,28,1,1,1,2,0,1.9986,27.96,33.56,0,0,0,0.758
ORD-00085,2024-01-10 04:11:28.457691,Evening,A,Medium,38,8,157.9,Low,False,15.82,25.18,41.0,45,0,1,1,2,0,0.9111,-4.0,60.0,1,0,1,0.416
ORD-00086,2024-01-10 06:48:45.225045,Evening,C,Medium,37,9,154.0,Medium,True,18.57,21.35,39.92,45,1,1,1,2,0,0.8871,-5.08,56.98,1,0,0,0.502
ORD-00087,2024-01-10 09:26:01.992398,Night,D,Low,28,1,220.2,High,True,36.41,19.02,55.43,55,0,1,1,2,0,1.0078,0.43,61.66,0,1,0,1.3
ORD-00088,2024-01-10 12:03:18.759751,Night,B,Low,39,6,144.7,Low,True,30.54,21.45,51.99,55,0,1,1,2,0,0.9453,-3.01,56.43,0,0,0,0.783
ORD-00089,2024-01-10 14:40:35.527105,Night,C,Medium,7,5,119.4,Medium,True,8.27,6.5,14.77,45,0,1,1,2,0,0.3282,-30.23,8.36,0,0,0,1.181
ORD-00090,2024-01-10 17:17:52.294458,Morning,A,Urgent,12,2,160.7,Medium,True,16.48,6.56,23.04,28,0,1,1,2,0,0.8229,-4.96,19.28,0,0,0,1.373
ORD-00091,2024-01-10 19:55:09.061812,Evening,E,Low,28,3,153.0,Low,True,21.78,13.64,35.42,55,0,1,1,2,0,0.644,-19.58,42.84,0,0,0,0.778
ORD-00092,2024-01-10 22:32:25.829165,Evening,A,Medium,37,9,144.8,Low,True,15.17,19.47,34.64,45,0,1,1,2,0,0.7698,-10.36,53.58,1,0,0,0.41
ORD-00093,2024-01-11 01:09:42.596519,Morning,A,Urgent,30,4,98.8,Medium,True,22.41,16.18,38.59,28,1,1,1,3,0,1.3782,10.59,29.64,0,0,0,0.747
ORD-00094,2024-01-11 03:46:59.363872,Night,B,Medium,21,6,143.8,Medium,True,22.43,16.78,39.21,45,1,1,1,3,0,0.8713,-5.79,30.2,0,0,0,1.068
ORD-00095,2024-01-11 06:24:16.131226,Morning,D,Medium,34,8,126.8,Medium,True,23.27,18.01,41.28,45,1,1,1,3,0,0.9173,-3.72,43.11,1,0,0,0.684
ORD-00096,2024-01-11 09:01:32.898579,Morning,D,High,3,5,141.3,High,False,9.43,7.47,16.9,38,0,1,1,3,0,0.4447,-21.1,4.24,0,1,1,3.143
ORD-00097,2024-01-11 11:38:49.665933,Morning,A,Medium,26,9,179.3,Low,True,13.12,21.26,34.38,45,0,1,1,3,0,0.764,-10.62,46.62,1,0,0,0.505
ORD-00098,2024-01-11 14:16:06.433286,Morning,A,Urgent,20,5,123.0,High,True,14.23,17.24,31.47,28,1,1,1,3,0,1.1239,3.47,24.6,0,1,0,0.712
ORD-00099,2024-01-11 16:53:23.200640,Morning,D,Low,25,10,141.2,Medium,False,12.96,16.22,29.18,55,0,1,1,3,0,0.5305,-25.82,35.3,1,0,1,0.518
ORD-00100,2024-01-11 19:30:39.967993,Evening,B,High,7,2,171.6,Low,True,11.36,9.2,20.56,38,0,1,1,3,0,0.5411,-17.44,12.01,0,0,0,1.623
ORD-00101,2024-01-11 22:07:56.735347,Evening,A,Medium,46,9,139.2,Low,True,20.58,21.2,41.78,45,0,1,1,3,0,0.9284,-3.22,64.03,1,0,0,0.447
ORD-00102,2024-01-12 00:45:13.502700,Morning,E,High,43,2,254.4,Low,True,40.37,19.46,59.83,38,1,1,1,4,0,1.5745,21.83,109.39,0,0,0,0.939
ORD-00103,2024-01-12 03:22:30.270054,Morning,A,High,48,9,160.0,Low,False,22.44,33.52,55.96,38,1,1,1,4,0,1.4726,17.96,76.8,1,0,1,0.468
ORD-00104,2024-01-12 05:59:47.037407,Night,C,High,43,7,100.3,High,True,29.69,18.61,48.3,38,1,1,1,4,0,1.2711,10.3,43.13,1,1,0,0.69
ORD-00105,2024-01-12 08:37:03.804760,Morning,A,High,34,6,116.4,Medium,True,22.41,21.31,43.72,38,1,1,1,4,0,1.1505,5.72,39.58,0,0,0,0.659
ORD-00106,2024-01-12 11:14:20.572114,Evening,D,High,15,9,112.4,Low,True,9.41,11.6,21.01,38,0,1,1,4,0,0.5529,-16.99,16.86,1,0,0,0.627
ORD-00107,2024-01-12 13:51:37.339467,Evening,D,Low,6,7,117.0,Low,True,3.66,10.3,13.96,55,0,1,1,4,0,0.2538,-41.04,7.02,1,0,0,0.61
ORD-00108,2024-01-12 16:28:54.106821,Evening,B,Low,31,7,171.5,Medium,True,30.38,15.58,45.96,55,0,1,1,4,0,0.8356,-9.04,53.16,1,0,0,0.98
ORD-00109,2024-01-12 19:06:10.874174,Night,C,Medium,48,8,105.7,High,True,33.12,27.2,60.32,45,1,1,1,4,0,1.3404,15.32,50.74,1,1,0,0.69
ORD-00110,2024-01-12 21:43:27.641528,Evening,E,Medium,19,9,136.8,Medium,True,12.82,10.98,23.8,45,0,1,1,4,0,0.5289,-21.2,25.99,1,0,0,0.675
ORD-00111,2024-01-13 00:20:44.408881,Night,D,Medium,50,3,195.7,Low,True,37.54,25.55,63.09,45,1,1,1,5,1,1.402,18.09,97.85,0,0,0,0.751
ORD-00112,2024-01-13 02:58:01.176235,Night,B,High,8,9,129.2,Low,True,9.73,6.27,16.0,38,0,1,1,5,1,0.4211,-22.0,10.34,1,0,0,1.216
ORD-00113,2024-01-13 05:35:17.943588,Morning,B,High,15,6,176.9,Low,True,13.21,12.54,25.75,38,1,1,1,5,1,0.6776,-12.25,26.54,0,0,0,0.881
ORD-00114,2024-01-13 08:12:34.710942,Morning,E,Urgent,33,1,82.7,Medium,True,33.54,17.42,50.96,28,1,1,1,5,1,1.82,22.96,27.29,0,0,0,1.016
ORD-00115,2024-01-13 10:49:51.478295,Morning,A,Medium,25,10,135.2,Low,True,9.23,16.61,25.84,45,0,1,1,5,1,0.5742,-19.16,33.8,1,0,0,0.369
ORD-00116,2024-01-13 13:27:08.245649,Morning,A,High,39,8,114.6,Low,True,19.8,17.77,37.57,38,1,1,1,5,1,0.9887,-0.43,44.69,1,0,0,0.508
ORD-00117,2024-01-13 16:04:25.013002,Evening,A,High,18,9,162.0,High,True,15.96,10.06,26.02,38,0,1,1,5,1,0.6847,-11.98,29.16,1,1,0,0.887
ORD-00118,2024-01-13 18:41:41.780356,Morning,D,Urgent,39,8,108.6,Low,True,10.13,16.51,26.64,28,1,1,1,5,1,0.9514,-1.36,42.35,1,0,0,0.26
ORD-00119,2024-01-13 21:18:58.547709,Morning,A,High,16,4,232.8,High,True,27.18,8.39,35.57,38,0,1,1,5,1,0.9361,-2.43,37.25,0,1,0,1.699
ORD-00120,2024-01-13 23:56:15.315063,Morning,B,Medium,8,4,84.4,Medium,True,11.42,11.21,22.63,45,0,1,1,5,1,0.5029,-22.37,6.75,0,0,0,1.428
ORD-00121,2024-01-14 02:33:32.082416,Evening,C,Low,29,3,195.4,Low,True,24.21,16.32,40.53,55,0,1,1,6,1,0.7369,-14.47,56.67,0,0,0,0.835
ORD-00122,2024-01-14 05:10:48.849769,Evening,A,Urgent,26,5,185.1,Low,False,18.28,20.4,38.68,28,0,1,1,6,1,1.3814,10.68,48.13,0,0,1,0.703
ORD-00123,2024-01-14 07:48:05.617123,Night,B,High,29,1,162.4,Medium,False,42.63,21.65,64.28,38,1,1,1,6,1,1.6916,26.28,47.1,0,0,1,1.47
ORD-00124,2024-01-14 10:25:22.384476,Morning,C,High,2,8,152.2,Medium,False,4.37,4.93,9.3,38,0,1,1,6,1,0.2447,-28.7,3.04,1,0,1,2.185
ORD-00125,2024-01-14 13:02:39.151830,Morning,A,High,21,8,224.2,Medium,True,19.95,16.31,36.26,38,0,1,1,6,1,0.9542,-1.74,47.08,1,0,0,0.95
ORD-00126,2024-01-14 15:39:55.919183,Night,E,High,5,10,248.8,High,True,8.51,11.88,20.39,38,0,1,1,6,1,0.5366,-17.61,12.44,1,1,0,1.702
ORD-00127,2024-01-14 18:17:12.686537,Evening,A,High,41,6,141.7,Medium,True,27.74,16.37,44.11,38,1,1,1,6,1,1.1608,6.11,58.1,0,0,0,0.677
ORD-00128,2024-01-14 20:54:29.453890,Evening,D,Urgent,5,10,156.3,Medium,True,7.99,8.39,16.38,28,0,1,1,6,1,0.585,-11.62,7.82,1,0,0,1.598
ORD-00129,2024-01-14 23:31:46.221244,Evening,C,Urgent,47,3,127.9,Low,True,34.16,21.41,55.57,28,1,1,1,6,1,1.9846,27.57,60.11,0,0,0,0.727
ORD-00130,2024-01-15 02:09:02.988597,Morning,A,Medium,3,5,103.2,Low,True,5.87,8.41,14.28,45,0,1,1,0,0,0.3173,-30.72,3.1,0,0,0,1.957
ORD-00131,2024-01-15 04:46:19.755951,Night,A,Low,31,8,168.5,Medium,True,18.97,16.42,35.39,55,0,1,1,0,0,0.6435,-19.61,52.24,1,0,0,0.612
ORD-00132,2024-01-15 07:23:36.523304,Evening,C,Low,17,8,160.0,Low,True,10.3,14.27,24.57,55,0,1,1,0,0,0.4467,-30.43,27.2,1,0,0,0.606
ORD-00133,2024-01-15 10:00:53.290658,Evening,B,Medium,6,8,85.6,High,False,6.37,8.36,14.73,45,0,1,1,0,0,0.3273,-30.27,5.14,1,1,1,1.062
ORD-00134,2024-01-15 12:38:10.058011,Evening,A,High,18,5,168.2,Low,True,13.23,10.44,23.67,38,1,1,1,0,0,0.6229,-14.33,30.28,0,0,0,0.735
ORD-00135,2024-01-15 15:15:26.825365,Morning,E,High,2,1,161.3,Low,True,7.79,2.91,10.7,38,0,1,1,0,0,0.2816,-27.3,3.23,0,0,0,3.895
ORD-00136,2024-01-15 17:52:43.592718,Morning,C,Medium,35,9,126.0,Medium,True,15.98,16.22,32.2,45,0,1,1,0,0,0.7156,-12.8,44.1,1,0,0,0.457
ORD-00137,2024-01-15 20:30:00.360072,Night,E,Medium,44,4,123.3,Medium,True,39.73,22.67,62.4,45,1,1,1,0,0,1.3867,17.4,54.25,0,0,0,0.903
ORD-00138,2024-01-15 23:07:17.127425,Evening,A,Medium,17,7,167.0,Low,False,8.07,13.69,21.76,45,0,1,1,0,0,0.4836,-23.24,28.39,1,0,1,0.475
ORD-00139,2024-01-16 01:44:33.894778,Morning,A,High,22,2,214.4,Medium,True,29.47,13.0,42.47,38,1,1,1,1,0,1.1176,4.47,47.17,0,0,0,1.34
ORD-00140,2024-01-16 04:21:50.662132,Morning,C,High,8,10,165.9,Medium,True,5.02,8.73,13.75,38,1,1,1,1,0,0.3618,-24.25,13.27,1,0,0,0.628
ORD-00141,2024-01-16 06:59:07.429485,Night,B,Low,25,3,181.2,Low,True,26.32,10.74,37.06,55,0,1,1,1,0,0.6738,-17.94,45.3,0,0,0,1.053
ORD-00142,2024-01-16 09:36:24.196839,Morning,A,Medium,48,10,116.7,Low,True,14.72,22.48,37.2,45,1,1,1,1,0,0.8267,-7.8,56.02,1,0,0,0.307
ORD-00143,2024-01-16 12:13:40.964192,Evening,A,Medium,27,8,133.4,Medium,True,13.72,10.97,24.69,45,0,1,1,1,0,0.5487,-20.31,36.02,1,0,0,0.508
ORD-00144,2024-01-16 14:50:57.731546,Evening,A,Medium,44,4,174.3,Medium,False,36.84,30.89,67.73,45,1,1,1,1,0,1.5051,22.73,76.69,0,0,1,0.837
ORD-00145,2024-01-16 17:28:14.498899,Night,D,High,40,4,95.7,Low,True,24.26,20.66,44.92,38,1,1,1,1,0,1.1821,6.92,38.28,0,0,0,0.606
ORD-00146,2024-01-16 20:05:31.266253,Evening,B,Urgent,7,10,158.3,Low,False,7.6,13.67,21.27,28,0,1,1,1,0,0.7596,-6.73,11.08,1,0,1,1.086
ORD-00147,2024-01-16 22:42:48.033606,Night,E,Low,3,6,169.7,Medium,True,16.41,5.59,22.0,55,0,1,1,1,0,0.4,-33.0,5.09,0,0,0,5.47
